file,profile,scenario,policy,sensor_mode,viewpoint_policy,belief_ttl,event_delay,seed,noise_profile,noise_rate,obstacle_color,mission_success,safe_success,unsafe_crossing,wrong_detour,observation_count,replan_count,stale_count,path_length,elapsed_seconds,avg_gpu_perception_ms,avg_visible_fraction
majority-vote__static-clear__seed-01.json,static-clear,clear,majority-vote,camera-rgbd,next-best,60,40,1,random,0.15,"[0.8809428942133012, 0.39257945298237285, 0.7875195980809236]",True,True,False,True,2,0,0,7.920001542195678,2.3723962493240833,142.30092066526413,1.0
majority-vote__static-clear__seed-02.json,static-clear,clear,majority-vote,camera-rgbd,next-best,60,40,2,random,0.15,"[0.14919201082847602, 0.16588578907279433, 0.5337948222647048]",True,True,False,False,3,0,0,5.743997061625123,2.1901908423751593,92.09854116042455,1.0
majority-vote__static-clear__seed-03.json,static-clear,clear,majority-vote,camera-rgbd,next-best,60,40,3,random,0.15,"[0.8586107082787581, 0.7080113051701622, 0.5428224907878393]",True,True,False,False,3,0,0,5.743997061625123,2.253426544368267,98.13650556405385,1.0
majority-vote__static-clear__seed-04.json,static-clear,clear,majority-vote,camera-rgbd,next-best,60,40,4,random,0.15,"[0.24542886507451556, 0.33036398149535035, 0.7496255497389722]",True,True,False,True,2,0,0,7.920001542195678,2.329713325947523,138.03087636828423,1.0
majority-vote__static-clear__seed-05.json,static-clear,clear,majority-vote,camera-rgbd,next-best,60,40,5,random,0.15,"[0.8323630451440069, 0.4550279765284868, 0.8833145453161386]",True,True,False,False,3,0,0,5.743997061625123,2.217279938980937,94.93048310279846,1.0
purify-active__dynamic-appears__seed-00.json,dynamic-appears,dynamic-appears,purify-active,camera-rgbd,next-best,60,40,0,none,0.0,"[0.21783072626743466, 0.6245763312832413, 0.33158394253702084]",True,True,False,False,4,1,1,9.215997196733952,2.950736302882433,193.83830092847347,0.731454580670153
purify-active__dynamic-appears__seed-01.json,dynamic-appears,dynamic-appears,purify-active,camera-rgbd,next-best,60,40,1,none,0.0,"[0.8809428942133012, 0.39257945298237285, 0.7875195980809236]",True,True,False,False,4,1,1,9.215997196733952,2.942330487072468,190.98160928487778,0.731454580670153
purify-active__dynamic-appears__seed-02.json,dynamic-appears,dynamic-appears,purify-active,camera-rgbd,next-best,60,40,2,none,0.0,"[0.14919201082847602, 0.16588578907279433, 0.5337948222647048]",True,True,False,False,4,1,1,9.215997196733952,2.9416174087673426,190.6916470080614,0.731454580670153
purify-active__dynamic-appears__seed-03.json,dynamic-appears,dynamic-appears,purify-active,camera-rgbd,next-best,60,40,3,none,0.0,"[0.8586107082787581, 0.7080113051701622, 0.5428224907878393]",True,True,False,False,4,1,1,9.215997196733952,2.9822471532970667,191.8968147188425,0.731454580670153
purify-active__dynamic-appears__seed-04.json,dynamic-appears,dynamic-appears,purify-active,camera-rgbd,next-best,60,40,4,none,0.0,"[0.24542886507451556, 0.33036398149535035, 0.7496255497389722]",True,True,False,False,4,1,1,9.215997196733952,2.9539097230881453,194.45835652947426,0.731454580670153
purify-active__dynamic-appears__seed-05.json,dynamic-appears,dynamic-appears,purify-active,camera-rgbd,next-best,60,40,5,none,0.0,"[0.8323630451440069, 0.4550279765284868, 0.8833145453161386]",True,True,False,False,4,1,1,9.215997196733952,3.015838300809264,189.37856249511242,0.731454580670153
purify-active__high-occlusion__seed-00.json,high-occlusion,high-occlusion,purify-active,camera-rgbd,next-best,60,40,0,none,0.0,"[0.21783072626743466, 0.6245763312832413, 0.33158394253702084]",True,True,False,False,2,0,0,7.920001542195678,2.792868545278907,369.61338397860527,0.5172413793103449
purify-active__high-occlusion__seed-01.json,high-occlusion,high-occlusion,purify-active,camera-rgbd,next-best,60,40,1,none,0.0,"[0.8809428942133012, 0.39257945298237285, 0.7875195980809236]",True,True,False,False,2,0,0,7.920001542195678,2.8148161601275206,370.88559997081757,0.5172413793103449
purify-active__high-occlusion__seed-02.json,high-occlusion,high-occlusion,purify-active,camera-rgbd,next-best,60,40,2,none,0.0,"[0.14919201082847602, 0.16588578907279433, 0.5337948222647048]",True,True,False,False,2,0,0,7.920001542195678,2.7703973688185215,361.60289922356606,0.5172413793103449
purify-active__high-occlusion__seed-03.json,high-occlusion,high-occlusion,purify-active,camera-rgbd,next-best,60,40,3,none,0.0,"[0.8586107082787581, 0.7080113051701622, 0.5428224907878393]",True,True,False,False,2,0,0,7.920001542195678,2.8199792560189962,366.02591064572334,0.5172413793103449
purify-active__high-occlusion__seed-04.json,high-occlusion,high-occlusion,purify-active,camera-rgbd,next-best,60,40,4,none,0.0,"[0.24542886507451556, 0.33036398149535035, 0.7496255497389722]",True,True,False,False,2,0,0,7.920001542195678,2.76131378300488,373.22104358673096,0.5172413793103449
purify-active__high-occlusion__seed-05.json,high-occlusion,high-occlusion,purify-active,camera-rgbd,next-best,60,40,5,none,0.0,"[0.8323630451440069, 0.4550279765284868, 0.8833145453161386]",True,True,False,False,2,0,0,7.920001542195678,2.7679351810365915,363.71244299411774,0.5172413793103449
purify-active__shifted-occluder__seed-00.json,shifted-occluder,shifted-occluder,purify-active,camera-rgbd,next-best,60,40,0,random,0.15,"[0.21783072626743466, 0.6245763312832413, 0.33158394253702084]",True,True,False,False,2,0,0,5.343999555334449,2.1553971525281668,143.82197159528732,0.5783598110777157
purify-active__shifted-occluder__seed-01.json,shifted-occluder,shifted-occluder,purify-active,camera-rgbd,next-best,60,40,1,random,0.15,"[0.8809428942133012, 0.39257945298237285, 0.7875195980809236]",True,True,False,False,3,1,0,7.936001241207123,2.8290252573788166,245.31867295503616,0.5737308568260903
purify-active__shifted-occluder__seed-02.json,shifted-occluder,shifted-occluder,purify-active,camera-rgbd,next-best,60,40,2,random,0.15,"[0.14919201082847602, 0.16588578907279433, 0.5337948222647048]",True,True,False,False,2,0,0,5.343999555334449,2.12847607024014,140.48273214697838,0.5783598110777157
purify-active__shifted-occluder__seed-03.json,shifted-occluder,shifted-occluder,purify-active,camera-rgbd,next-best,60,40,3,random,0.15,"[0.8586107082787581, 0.7080113051701622, 0.5428224907878393]",True,True,False,False,2,0,0,6.911996182054281,2.7155329566448927,368.30691063404083,0.6019755955839629
purify-active__shifted-occluder__seed-04.json,shifted-occluder,shifted-occluder,purify-active,camera-rgbd,next-best,60,40,4,random,0.15,"[0.24542886507451556, 0.33036398149535035, 0.7496255497389722]",True,True,False,False,4,2,0,11.008000742644072,3.154160914942622,189.18003997206688,0.668490250366444
purify-active__shifted-occluder__seed-05.json,shifted-occluder,shifted-occluder,purify-active,camera-rgbd,next-best,60,40,5,random,0.15,"[0.8323630451440069, 0.4550279765284868, 0.8833145453161386]",True,True,False,False,2,0,0,6.911996182054281,2.6884892862290144,370.66645166277885,0.6019755955839629
purify-active__static-blocked__seed-00.json,static-blocked,blocked,purify-active,camera-rgbd,next-best,60,40,0,random,0.15,"[0.21783072626743466, 0.6245763312832413, 0.33158394253702084]",True,True,False,False,2,0,0,7.920001542195678,2.807599324733019,364.761647939682,0.5172413793103449
purify-active__static-blocked__seed-01.json,static-blocked,blocked,purify-active,camera-rgbd,next-best,60,40,1,random,0.15,"[0.8809428942133012, 0.39257945298237285, 0.7875195980809236]",True,True,False,False,3,1,0,8.112000850960612,2.869560683146119,249.38333449761072,0.4991306399869986
purify-active__static-blocked__seed-02.json,static-blocked,blocked,purify-active,camera-rgbd,next-best,60,40,2,random,0.15,"[0.14919201082847602, 0.16588578907279433, 0.5337948222647048]",True,True,False,False,2,0,0,7.920001542195678,2.7797387149184942,364.61804670095444,0.5172413793103449
purify-active__static-blocked__seed-03.json,static-blocked,blocked,purify-active,camera-rgbd,next-best,60,40,3,random,0.15,"[0.8586107082787581, 0.7080113051701622, 0.5428224907878393]",True,True,False,False,2,0,0,7.920001542195678,2.824325080960989,364.93918883800507,0.5172413793103449
purify-active__static-blocked__seed-04.json,static-blocked,blocked,purify-active,camera-rgbd,next-best,60,40,4,random,0.15,"[0.24542886507451556, 0.33036398149535035, 0.7496255497389722]",True,True,False,False,4,2,0,9.232001304626465,2.97173179872334,185.74832293391228,0.4871646395007685
purify-active__static-blocked__seed-05.json,static-blocked,blocked,purify-active,camera-rgbd,next-best,60,40,5,random,0.15,"[0.8323630451440069, 0.4550279765284868, 0.8833145453161386]",True,True,False,False,2,0,0,7.920001542195678,2.8126835208386183,366.6172142624855,0.5172413793103449
purify-active__static-clear__seed-00.json,static-clear,clear,purify-active,camera-rgbd,next-best,60,40,0,random,0.15,"[0.21783072626743466, 0.6245763312832413, 0.33158394253702084]",True,True,False,False,4,1,1,7.168001268059015,2.855177089571953,191.6223374903202,1.0
purify-active__static-clear__seed-01.json,static-clear,clear,purify-active,camera-rgbd,next-best,60,40,1,random,0.15,"[0.8809428942133012, 0.39257945298237285, 0.7875195980809236]",True,True,False,False,3,1,0,6.0479982160031796,2.7033778615295887,251.28677972157797,1.0
purify-active__static-clear__seed-02.json,static-clear,clear,purify-active,camera-rgbd,next-best,60,40,2,random,0.15,"[0.14919201082847602, 0.16588578907279433, 0.5337948222647048]",True,True,False,True,4,1,1,9.215997196733952,2.997028859332204,189.65197382867336,1.0
purify-active__static-clear__seed-03.json,static-clear,clear,purify-active,camera-rgbd,next-best,60,40,3,random,0.15,"[0.8586107082787581, 0.7080113051701622, 0.5428224907878393]",True,True,False,False,4,1,1,7.168001268059015,2.825751271098852,187.23014371097088,1.0
purify-active__static-clear__seed-04.json,static-clear,clear,purify-active,camera-rgbd,next-best,60,40,4,random,0.15,"[0.24542886507451556, 0.33036398149535035, 0.7496255497389722]",True,True,False,True,6,3,1,11.919997937977314,3.2682929541915655,126.13937430580457,1.0
purify-active__static-clear__seed-05.json,static-clear,clear,purify-active,camera-rgbd,next-best,60,40,5,random,0.15,"[0.8323630451440069, 0.4550279765284868, 0.8833145453161386]",True,True,False,False,4,1,1,7.168001268059015,2.843267947435379,187.95174157619476,1.0
purify-fixed__dynamic-appears__seed-00.json,dynamic-appears,dynamic-appears,purify-fixed,camera-rgbd,fixed,60,40,0,none,0.0,"[0.21783072626743466, 0.6245763312832413, 0.33158394253702084]",True,False,True,False,2,0,0,4.800006261095405,2.077085569500923,143.60046136379242,1.0
purify-fixed__dynamic-appears__seed-01.json,dynamic-appears,dynamic-appears,purify-fixed,camera-rgbd,fixed,60,40,1,none,0.0,"[0.8809428942133012, 0.39257945298237285, 0.7875195980809236]",True,False,True,False,2,0,0,4.800006261095405,2.097522024065256,140.60281336307526,1.0
purify-fixed__dynamic-appears__seed-02.json,dynamic-appears,dynamic-appears,purify-fixed,camera-rgbd,fixed,60,40,2,none,0.0,"[0.14919201082847602, 0.16588578907279433, 0.5337948222647048]",True,False,True,False,2,0,0,4.800006261095405,2.098738083615899,137.99410474300385,1.0
purify-fixed__dynamic-appears__seed-03.json,dynamic-appears,dynamic-appears,purify-fixed,camera-rgbd,fixed,60,40,3,none,0.0,"[0.8586107082787581, 0.7080113051701622, 0.5428224907878393]",True,False,True,False,2,0,0,4.800006261095405,2.1076095663011074,139.64997670054436,1.0
purify-fixed__dynamic-appears__seed-04.json,dynamic-appears,dynamic-appears,purify-fixed,camera-rgbd,fixed,60,40,4,none,0.0,"[0.24542886507451556, 0.33036398149535035, 0.7496255497389722]",True,False,True,False,2,0,0,4.800006261095405,2.1099636536091566,139.0180755853653,1.0
purify-fixed__dynamic-appears__seed-05.json,dynamic-appears,dynamic-appears,purify-fixed,camera-rgbd,fixed,60,40,5,none,0.0,"[0.8323630451440069, 0.4550279765284868, 0.8833145453161386]",True,False,True,False,2,0,0,4.800006261095405,2.0857887528836727,140.2233987748623,1.0
purify-fixed__high-occlusion__seed-00.json,high-occlusion,high-occlusion,purify-fixed,camera-rgbd,fixed,60,40,0,none,0.0,"[0.21783072626743466, 0.6245763312832413, 0.33158394253702084]",True,True,False,False,3,2,0,9.920007461681962,2.4990666154772043,93.000525812308,0.1600475147101583
purify-fixed__high-occlusion__seed-01.json,high-occlusion,high-occlusion,purify-fixed,camera-rgbd,fixed,60,40,1,none,0.0,"[0.8809428942133012, 0.39257945298237285, 0.7875195980809236]",True,True,False,False,3,2,0,9.920007461681962,2.5138543639332056,92.6985275944074,0.1600475147101583
purify-fixed__high-occlusion__seed-02.json,high-occlusion,high-occlusion,purify-fixed,camera-rgbd,fixed,60,40,2,none,0.0,"[0.14919201082847602, 0.16588578907279433, 0.5337948222647048]",True,True,False,False,3,2,0,9.920007461681962,2.544992931187153,97.51779466867447,0.1600475147101583
purify-fixed__high-occlusion__seed-03.json,high-occlusion,high-occlusion,purify-fixed,camera-rgbd,fixed,60,40,3,none,0.0,"[0.8586107082787581, 0.7080113051701622, 0.5428224907878393]",True,True,False,False,3,2,0,9.920007461681962,2.5414848159998655,94.192858060201,0.1600475147101583
purify-fixed__high-occlusion__seed-04.json,high-occlusion,high-occlusion,purify-fixed,camera-rgbd,fixed,60,40,4,none,0.0,"[0.24542886507451556, 0.33036398149535035, 0.7496255497389722]",True,True,False,False,3,2,0,9.920007461681962,2.4702569972723722,94.14006471633911,0.1600475147101583
purify-fixed__high-occlusion__seed-05.json,high-occlusion,high-occlusion,purify-fixed,camera-rgbd,fixed,60,40,5,none,0.0,"[0.8323630451440069, 0.4550279765284868, 0.8833145453161386]",True,True,False,False,3,2,0,9.920007461681962,2.5466969422996044,94.67370424667995,0.1600475147101583
purify-fixed__shifted-occluder__seed-00.json,shifted-occluder,shifted-occluder,purify-fixed,camera-rgbd,fixed,60,40,0,random,0.15,"[0.21783072626743466, 0.6245763312832413, 0.33158394253702084]",True,True,False,False,2,0,0,5.135999085381627,2.562399523332715,365.75482416152954,1.0
purify-fixed__shifted-occluder__seed-01.json,shifted-occluder,shifted-occluder,purify-fixed,camera-rgbd,fixed,60,40,1,random,0.15,"[0.8809428942133012, 0.39257945298237285, 0.7875195980809236]",True,True,False,False,4,3,0,15.3760000243783,3.347340978682041,187.63357190787792,0.3365882712031819
purify-fixed__shifted-occluder__seed-02.json,shifted-occluder,shifted-occluder,purify-fixed,camera-rgbd,fixed,60,40,2,random,0.15,"[0.14919201082847602, 0.16588578907279433, 0.5337948222647048]",True,True,False,False,2,0,0,5.135999085381627,2.5653164479881525,369.3560827076435,1.0
purify-fixed__shifted-occluder__seed-03.json,shifted-occluder,shifted-occluder,purify-fixed,camera-rgbd,fixed,60,40,3,random,0.15,"[0.8586107082787581, 0.7080113051701622, 0.5428224907878393]",True,True,False,False,3,2,0,9.920007461681962,3.010067829862237,250.2543690999349,0.2763705685007943
purify-fixed__shifted-occluder__seed-04.json,shifted-occluder,shifted-occluder,purify-fixed,camera-rgbd,fixed,60,40,4,random,0.15,"[0.24542886507451556, 0.33036398149535035, 0.7496255497389722]",True,True,False,False,5,3,0,15.3760000243783,3.5104981809854507,152.81237882375717,0.6267514602352724
purify-fixed__shifted-occluder__seed-05.json,shifted-occluder,shifted-occluder,purify-fixed,camera-rgbd,fixed,60,40,5,random,0.15,"[0.8323630451440069, 0.4550279765284868, 0.8833145453161386]",True,True,False,False,3,2,0,9.920007461681962,2.9739934261888266,247.6238873799642,0.2763705685007943
purify-fixed__static-blocked__seed-00.json,static-blocked,blocked,purify-fixed,camera-rgbd,fixed,60,40,0,random,0.15,"[0.21783072626743466, 0.6245763312832413, 0.33158394253702084]",True,True,False,False,2,0,0,5.135999085381627,2.105681488290429,138.30703485012054,0.681930693069307
purify-fixed__static-blocked__seed-01.json,static-blocked,blocked,purify-fixed,camera-rgbd,fixed,60,40,1,random,0.15,"[0.8809428942133012, 0.39257945298237285, 0.7875195980809236]",True,True,False,False,3,1,0,8.816002728417516,2.9365186523646116,253.95240461826324,0.6089235158263067
purify-fixed__static-blocked__seed-02.json,static-blocked,blocked,purify-fixed,camera-rgbd,fixed,60,40,2,random,0.15,"[0.14919201082847602, 0.16588578907279433, 0.5337948222647048]",True,True,False,False,2,0,0,5.135999085381627,2.1197201684117317,143.01779040694237,0.681930693069307
purify-fixed__static-blocked__seed-03.json,static-blocked,blocked,purify-fixed,camera-rgbd,fixed,60,40,3,random,0.15,"[0.8586107082787581, 0.7080113051701622, 0.5428224907878393]",True,True,False,False,2,0,0,5.135999085381627,2.110677884891629,139.70045360922813,0.681930693069307
purify-fixed__static-blocked__seed-04.json,static-blocked,blocked,purify-fixed,camera-rgbd,fixed,60,40,4,random,0.15,"[0.24542886507451556, 0.33036398149535035, 0.7496255497389722]",True,True,False,False,4,2,0,9.920007461681962,3.0584803856909275,191.58601397275925,0.5695092963802495
purify-fixed__static-blocked__seed-05.json,static-blocked,blocked,purify-fixed,camera-rgbd,fixed,60,40,5,random,0.15,"[0.8323630451440069, 0.4550279765284868, 0.8833145453161386]",True,True,False,False,2,0,0,5.135999085381627,2.112330263480544,140.48110461235046,0.681930693069307
purify-fixed__static-clear__seed-00.json,static-clear,clear,purify-fixed,camera-rgbd,fixed,60,40,0,random,0.15,"[0.21783072626743466, 0.6245763312832413, 0.33158394253702084]",True,True,False,False,2,0,0,4.800006261095405,2.1207161992788315,145.7936625778675,1.0
purify-fixed__static-clear__seed-01.json,static-clear,clear,purify-fixed,camera-rgbd,fixed,60,40,1,random,0.15,"[0.8809428942133012, 0.39257945298237285, 0.7875195980809236]",True,True,False,False,3,1,0,6.784007949754596,2.7925006449222565,253.5469277103742,1.0
purify-fixed__static-clear__seed-02.json,static-clear,clear,purify-fixed,camera-rgbd,fixed,60,40,2,random,0.15,"[0.14919201082847602, 0.16588578907279433, 0.5337948222647048]",True,True,False,False,2,0,0,4.800006261095405,2.1117169372737408,139.277712225914,1.0
purify-fixed__static-clear__seed-03.json,static-clear,clear,purify-fixed,camera-rgbd,fixed,60,40,3,random,0.15,"[0.8586107082787581, 0.7080113051701622, 0.5428224907878393]",True,True,False,False,2,0,0,4.800006261095405,2.103571819141507,143.11456564068794,1.0
purify-fixed__static-clear__seed-04.json,static-clear,clear,purify-fixed,camera-rgbd,fixed,60,40,4,random,0.15,"[0.24542886507451556, 0.33036398149535035, 0.7496255497389722]",True,True,False,False,4,2,0,10.112008899450302,3.0200049113482237,193.6386455744505,1.0
purify-fixed__static-clear__seed-05.json,static-clear,clear,purify-fixed,camera-rgbd,fixed,60,40,5,random,0.15,"[0.8323630451440069, 0.4550279765284868, 0.8833145453161386]",True,True,False,False,2,0,0,4.800006261095405,2.097536927089095,139.33255887031555,1.0
single-shot__dynamic-appears__seed-00.json,dynamic-appears,dynamic-appears,single-shot,camera-rgbd,next-best,60,40,0,none,0.0,"[0.21783072626743466, 0.6245763312832413, 0.33158394253702084]",True,False,True,False,1,0,0,5.743997061625123,2.1554786693304777,274.77490234375,1.0
single-shot__dynamic-appears__seed-01.json,dynamic-appears,dynamic-appears,single-shot,camera-rgbd,next-best,60,40,1,none,0.0,"[0.8809428942133012, 0.39257945298237285, 0.7875195980809236]",True,False,True,False,1,0,0,5.743997061625123,2.1443024687469006,280.84576416015625,1.0
single-shot__dynamic-appears__seed-02.json,dynamic-appears,dynamic-appears,single-shot,camera-rgbd,next-best,60,40,2,none,0.0,"[0.14919201082847602, 0.16588578907279433, 0.5337948222647048]",True,False,True,False,1,0,0,5.743997061625123,2.171256424859166,280.0581970214844,1.0
single-shot__dynamic-appears__seed-03.json,dynamic-appears,dynamic-appears,single-shot,camera-rgbd,next-best,60,40,3,none,0.0,"[0.8586107082787581, 0.7080113051701622, 0.5428224907878393]",True,False,True,False,1,0,0,5.743997061625123,2.151182170957327,278.091552734375,1.0
single-shot__dynamic-appears__seed-04.json,dynamic-appears,dynamic-appears,single-shot,camera-rgbd,next-best,60,40,4,none,0.0,"[0.24542886507451556, 0.33036398149535035, 0.7496255497389722]",True,False,True,False,1,0,0,5.743997061625123,2.1637426912784576,276.6334533691406,1.0
single-shot__dynamic-appears__seed-05.json,dynamic-appears,dynamic-appears,single-shot,camera-rgbd,next-best,60,40,5,none,0.0,"[0.8323630451440069, 0.4550279765284868, 0.8833145453161386]",True,False,True,False,1,0,0,5.743997061625123,2.1721132528036833,282.09423828125,1.0
single-shot__high-occlusion__seed-00.json,high-occlusion,high-occlusion,single-shot,camera-rgbd,next-best,60,40,0,none,0.0,"[0.21783072626743466, 0.6245763312832413, 0.33158394253702084]",True,True,False,False,1,0,0,7.920001542195678,2.761414049193263,734.2488403320312,0.5172413793103449
